channel,source,type,convo,direction,user,contact,text,tags,convoCreatedAt,itemCreatedAt,external,firstReplyTimeSecs,firstReplyTimeMins,firstReplyTimeHours
twitter,message,tweet,https://reply.buffer.com/conversations/W0ToE-M-swAB4EKJ,inbound,,aboutict (aboutict.nl),"""Mozilla test wachtwoordbeheerder voor Firefox-logins op iOS https://t.co/IIqeT5heiG https://t.co/HvgpFiXIXq""","NL,Firefox iOS",2018-07-10 17:08:19,2018-07-10 17:08:19,https://twitter.com/statuses/1016730852733083649,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0TnaMYREgABp13n,inbound,,TheEssem (e 2),"""@corbindavenport @firefox It seems to handle large pages better than Chrome lol""",EN,2018-07-10 17:04:57,2018-07-10 17:04:57,https://twitter.com/statuses/1016730002816208896,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0Tm2n2-UgABSaE_,inbound,,djanguist (Steve Kossouho),"""I realize that @firefox gave time for extension developers to RE-develop their extensions before the release of FF57... but quite often without providing essential functionality... Must have been hard on both sides (more for extension developers, I think)""",EN,2018-07-10 17:03:21,2018-07-10 17:03:21,https://twitter.com/statuses/1016729601148669952,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0TjxQlOmgABS_Bi,inbound,,LetsGamePlay_HD (Satoshi (LGP HD)),"""@vainamov Ich hätte Stylus (https://t.co/Xt4jc0hWd9) anzubieten. Kannst du ja mal ausprobieren.

#fxhelp""","DE,AoA",2018-07-10 16:50:01,2018-07-10 16:50:01,https://twitter.com/statuses/1016726246854660101,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0TjDn2-UgABSaBh,inbound,,loganfouchet (Logan Fouchet),"""Mozilla wants to make @Firefox your iOS password manager https://t.co/zNO1OtqMdC @mozilla""","EN,Firefox iOS,Help Me",2018-07-10 16:47:09,2018-07-10 16:47:09,https://twitter.com/statuses/1016725525342060544,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0TipglOmgABS_Aq,inbound,,mamilaneitor (Cesar Arias),"""any addon or option for @firefox #quantum that allows to project with chromecast?""",EN,2018-07-10 16:45:23,2018-07-10 16:45:23,https://twitter.com/statuses/1016725080414588929,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0Tip8YREgABp1ze,inbound,,ProviderLijst (ProviderLijst.nl),"""[Tweakers] Mozilla test wachtwoordbeheerder voor #Firefox-logins op iOS - https://t.co/cMVUB2U2bd #nieuws #technews""","NL,Firefox iOS",2018-07-10 16:45:15,2018-07-10 16:45:15,https://twitter.com/statuses/1016725046298071040,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0Th2MYREgABp1yx,inbound,,MozillaZineFr (MozillaZine-fr.org),""".@Mozilla étend le programme Test Pilot @FxTestPilot de @Firefox aux mobiles https://t.co/wNuDnFdaeg traduction par @MozillaPR_FR""","FR,No Action Taken,Press Release",2018-07-10 16:42:00,2018-07-10 16:42:00,https://twitter.com/statuses/1016724226437533696,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0ThAMYREgABp1x7,inbound,,peteranglea (Peter Anglea),""".@firefox sent me this tshirt a long time ago. Maybe 10 years ago? Kinda forgot about it until recently. I understand you can't buy it in this color - was only ever given away. #statussymbol https://t.co/KdNtj2U7sk""",EN,2018-07-10 16:38:21,2018-07-10 16:38:21,https://twitter.com/statuses/1016723311735328768,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0Tg6X2-UgABSZ_j,inbound,,mab4math (الأستاذ محمد علي),"""@firefox i can not see arabic lang correctly, why? https://t.co/1mXyS2K686""",EN,2018-07-10 16:37:59,2018-07-10 16:37:59,https://twitter.com/statuses/1016723216130338816,,,
