channel,source,type,convo,direction,user,contact,text,tags,convoCreatedAt,itemCreatedAt,external,firstReplyTimeSecs,firstReplyTimeMins
twitter,message,tweet,https://reply.buffer.com/conversations/WzTiYCOwpAABJmaW,inbound,,docrobinson5 (doc robinson),"""@firefox_FR  c’est quoi cette mise à jour qui fou le bordel? Même plus moyen de remettre en français et apparition de chose non souhaitée... c’est si dure de faire une maj sans touchés nos settings? Sérieux... vais finir sur edge...""","EN,Help Me",2018-06-28 13:28:00,2018-06-28 13:28:00,https://twitter.com/statuses/1012326751631011840,,
twitter,message,tweet,https://reply.buffer.com/conversations/WzThtzC1xAABh9KX,inbound,,ItsAboutAction (Networks Unlimited),"""@firefox and @1Password now bring #data #breach notifications to you
They're making it easier to see if your #emails and #passwords are compromised. https://t.co/lKdQTxCuHQ #CyberSecurity #Security #Business #Technology #TechNews #Tech #DataBreach https://t.co/c04OKhAlL1""","EN,Help Me",2018-06-28 13:25:09,2018-06-28 13:25:09,https://twitter.com/statuses/1012326035227140101,,
twitter,message,tweet,https://reply.buffer.com/conversations/WzTfmyOwpAABJmZM,inbound,,securitynl (security.nl),"""Mozilla geeft details over data verzamelen in testversies Firefox #securitynl https://t.co/uAAPj24xpm""","EN,Help Me",2018-06-28 13:16:01,2018-06-28 13:16:01,https://twitter.com/statuses/1012323736350068737,,
twitter,message,tweet,https://reply.buffer.com/conversations/WzTcofT9WAABHiHt,inbound,,Schellebot (Schellebot),"""Vandaag komt Firefox 57 uit, dat voor ni….""","EN,Help Me",2018-06-28 13:03:18,2018-06-28 13:03:18,https://twitter.com/statuses/1012320537647943681,,
twitter,message,tweet,https://reply.buffer.com/conversations/WzTbECOwpAABJmW6,inbound,,GuusvanLienen (Guus van Lienen),"""Avast Antivirus kan niet overweg met nieuwste versie Firefox met TLS 1.3 → SSL_ERROR_RX_RECORD_TOO_LONG
https://t.co/kBfDr7dyuU""","EN,Help Me",2018-06-28 12:55:03,2018-06-28 12:55:03,https://twitter.com/statuses/1012318458028142592,,
twitter,message,tweet,https://reply.buffer.com/conversations/WzTaWDC1xAABh9Hh,inbound,,dkutka25 (dan kutka),"""@StephenHksn @DuckDuckGo @firefox brave browser is worth checking out also""","EN,Help Me",2018-06-28 12:53:37,2018-06-28 12:53:37,https://twitter.com/statuses/1012318097955487746,,
twitter,message,tweet,https://reply.buffer.com/conversations/WzTZhzC1xAABh9HP,inbound,,lucasscarduelli (Lucas B. Scarduelli),"""É só comigo que ao abrir o @googledrive no @firefox essa bagaça senta a máquina? 🤔🙄""","EN,Help Me",2018-06-28 12:50:14,2018-06-28 12:50:14,https://twitter.com/statuses/1012317249489731584,,
twitter,message,tweet,https://reply.buffer.com/conversations/WzTYgDC1xAABh9HC,inbound,,jvergar2 (Juan Carlos Vergara),"""@firefox_es Desde ayer tengo problemas con WhatsApp web en firefox
¿Alguna ayuda al respecto?

Muchas gracias. https://t.co/ToUluxAsP2""","EN,Help Me",2018-06-28 12:45:50,2018-06-28 12:45:50,https://twitter.com/statuses/1012316142289944577,,
twitter,message,tweet,https://reply.buffer.com/conversations/WzTYgDC1xAABh9HC,outbound,Miguel Useche,jvergar2 (Juan Carlos Vergara),"""@jvergar2 ¿Aún tienes problemas? -MU""","EN,Help Me",2018-06-28 12:45:50,2018-07-04 16:09:30,https://twitter.com/statuses/1014541724008570880,530620,8843.666667
twitter,message,tweet,https://reply.buffer.com/conversations/WzTXPfT9WAABHiFc,inbound,,b1n0anb (Bino),"""@firefox #firefox https://t.co/8YB2hVN2wF""","EN,Help Me",2018-06-28 12:40:28,2018-06-28 12:40:28,https://twitter.com/statuses/1012314789476012034,,
